UID,title,day,start_date,start_time,category,description,organiser,web_link,slack_channel,channel_url
11,Opening Plenary A,1,2020-10-12,12:00,All Meeting,Welcome to ISMIR 2020! Meet your hosts and hear about what is happening at this year's very special conference.,Audrey Laplante,,,
12,Posters 1A,1,2020-10-12,13:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-1-,
13,Meetups Misc,1,2020-10-12,14:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
14,Meetup for First Time ISMIR attendees A,1,2020-10-12,14:30,Meetup,A meetup zoom for people participating in ISMIR for the first time. We will help with introductions and the conversations can continue on slack.,ISMIR 2020 committee,,#social-first_ismir,https://ismir2020.slack.com/archives/C01APUMJFFG
15,Special Session 1: Multidisciplinary research in MIR: where are we now?,1,2020-10-12,14:30,Meetup-Special,"MIR’s multidisciplinarity provides rich and flexible foundations to address many interesting music technology research questions. How can we increase interaction with researchers from musicology, psychology, and other relevant fields given the current status of MIR? What shared goals should we collectively aim for? Come discuss with session chairs Magdalena Fuentes, Andrew Demetriou, and Jaehun Kim.","Magdalena Fuentes, Andrew Demetriou, and Jaehun Kim",,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
16,Keynote by Dr. Safiya Noble: Taking on Big Tech: New Paradigms for New Possibilities (Live),1,2020-10-12,16:30,All Meeting,"In her recent best-selling book Algorithms of Oppression, Dr. Safiya Noble challenges the idea that “Big Tech” offers an equal playing field for all forms of ideas, identities, and activities. Her work argues that the combination of private interests, along with the monopoly status of a relatively small number of internet companies, leads to a limited understanding of how racism is created, maintained, and disseminated in everyday digital engagements. Data discrimination is a real social problem, and in this talk, Noble offers a powerful set of data points, examples, and provocations. She asserts we are just at the beginning of creating new paradigms of justice with the tech sector. This keynote will be a live presentation that is recorded for re-broadcast.",Audrey Laplante,https://ismir.github.io/ISMIR2020/events/,,
17,Posters 2A,1,2020-10-12,17:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-2-,
18,WiMIR meetup 1: Amelie Anglade,1,2020-10-12,19:00,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
19,Meetups Misc,1,2020-10-12,19:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
20,Opening Plenary B (R),1,2020-10-13,0:30,All Meeting,Welcome to ISMIR 2020! Meet your hosts and hear about what is happening at this year's very special conference. (Rebroadcast),ISMIR 2020 chairs,,,
21,Posters 1B,1,2020-10-13,1:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-1-,
22,Meetup for First Time ISMIR attendees B,1,2020-10-13,3:00,Meetup,A meetup zoom for people participating in ISMIR for the first time. We will help with introductions and the conversations can continue on slack.,ISMIR 2020 committee,,#social-first_ismir,https://ismir2020.slack.com/archives/C01APUMJFFG
23,Meetups Misc,1,2020-10-13,3:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
24,Keynote by Dr. Safiya Noble: Taking on Big Tech: New Paradigms for New Possibilities (Rebroadcast),1,2020-10-13,5:00,All Meeting,"In her recent best-selling book Algorithms of Oppression, Dr. Safiya Noble challenges the idea that “Big Tech” offers an equal playing field for all forms of ideas, identities, and activities. Her work argues that the combination of private interests, along with the monopoly status of a relatively small number of internet companies, leads to a limited understanding of how racism is created, maintained, and disseminated in everyday digital engagements. Data discrimination is a real social problem, and in this talk, Noble offers a powerful set of data points, examples, and provocations. She asserts we are just at the beginning of creating new paradigms of justice with the tech sector. This keynote will be a rebroadcast of the lecture, followed by live discussion. ",ISMIR 2020 chairs,https://ismir.github.io/ISMIR2020/events/,,
25,Posters 2B,1,2020-10-13,6:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-2-,
26,WiMIR meetup 2: Emilia Gómez,1,2020-10-13,7:30,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
27,Special Session 2: Are MIR tools fitted to all music?,1,2020-10-13,7:30,Meetup-Special,"Many MIR tools used commonly (think chromas, beat histograms) are inspired by our knowledge of how western music is produced. Are they valid for all types of music existing out there? Are some analysis tools universal? Can learned representation avoid such cultural biases and how can we achieve that? Come discuss with session chairs Elena Epure and Manuel Moussallam.",Elena Epure and Manuel Moussallam,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
28,Meetups Misc,1,2020-10-13,7:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
29,Meetups Misc,2,2020-10-13,12:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
30,Posters 3A,2,2020-10-13,13:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-3-,
31,"WiMIR Keynote by Dr. Johanna Devaney: Performance Matters,  Beyond the current conception of musical performance in MIR (Live)",2,2020-10-13,14:30,All Meeting,"This talk will reflect on what we can observe about musical performance in the audio signal and where MIR techniques have succeeded and failed in enhancing our understanding of musical performance. Since its foundation, ISMIR has showcased a range of approaches for studying musical performance. Some of these have been explicit approaches for studying expressive performance while others implicitly analyze performance with other aspects of the musical audio. Building on my own work developing tools for analyzing musical performance, I will consider not only the assumptions that underlie the questions we ask about performance but what we learn and what we miss in our current approaches to summarizing performance-related information from audio signals. I will also reflect on a number of related questions, including what do we gain by summarizing over large corpora versus close reading of a select number of recordings. What do we lose? What can we learn from generative techniques, such as those applied in style transfer? And finally, how can we integrate these disparate approaches in order to better understand the role of performance in our conception of musical style? This keynote will be a live presentation that is recorded for re-broadcast",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,,
32,Meetups Misc,2,2020-10-13,16:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
33,WiMIR meetup 3: Gissel Velarde,2,2020-10-13,16:30,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
34,Special Session 3: Between musicology and MIR,2,2020-10-13,16:30,Meetup-Special,"ISMIR is one of the places where musicology meets with computer science and engineering. What makes this encounter so exciting is that it is not so much about performing musicological tasks more efficiently as about reaching a deeper understanding of music by means of computational methods. In this special topic session, we discuss how recent work in MIR could impact musicology and which open problems in music research could stimulate new MIR research. Come discuss with session chair Frans Wiering.",Frans Wiering,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
35,Posters 4A,2,2020-10-13,17:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-4-,
36,Music Program 1A,2,2020-10-13,19:00,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
37,Special Session 4: Do we have enough data?,2,2020-10-14,0:30,Meetup-Special,"For most MIR tasks, we are limited in the amount or variability of data for experimentation. But are we? How can we creatively work with what we have to turn our small data into big data? Come discuss with session chair Rachel Bittner.",Rachel Bittner,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
38,Meetups Misc,2,2020-10-14,0:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
39,WiMIR meetup 4: Blair Kaneshiro,2,2020-10-14,0:30,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
40,Posters 3B,2,2020-10-14,1:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-3-,
41,"WiMIR Keynote by Dr. Johanna Devaney: Performance Matters,  Beyond the current conception of musical performance in MIR (Rebroadcast)",2,2020-10-14,3:00,All Meeting,"This talk will reflect on what we can observe about musical performance in the audio signal and where MIR techniques have succeeded and failed in enhancing our understanding of musical performance. Since its foundation, ISMIR has showcased a range of approaches for studying musical performance. Some of these have been explicit approaches for studying expressive performance while others implicitly analyze performance with other aspects of the musical audio. Building on my own work developing tools for analyzing musical performance, I will consider not only the assumptions that underlie the questions we ask about performance but what we learn and what we miss in our current approaches to summarizing performance-related information from audio signals. I will also reflect on a number of related questions, including what do we gain by summarizing over large corpora versus close reading of a select number of recordings. What do we lose? What can we learn from generative techniques, such as those applied in style transfer? And finally, how can we integrate these disparate approaches in order to better understand the role of performance in our conception of musical style? This keynote will be a rebroadcast of the lecture, followed by live discussion. ",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,,
42,Meetups Misc,2,2020-10-14,5:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
43,WiMIR meetup 5: Rachel Bittner,2,2020-10-14,5:00,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
44,Posters 4B,2,2020-10-14,6:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-4-,
45,Music Program 1B,2,2020-10-14,7:30,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
46,Special Session 5: Do we really care about the validity of MIR research?,3,2020-10-14,12:00,Meetup-Special,"Recent MIR research has shown some curious results: low generalization to out-of-sample data; lack of inter-rater agreement; adversarial attacks that drastically reduce performance. Do these results point to real problems in our research practice or are they just some marginal phenomena that can be dismissed? Come discuss with session chairs Arthur Flexer, Bob Sturm, and Julian Urbano.","Arthur Flexer, Bob Sturm, and Julian Urbano ",,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
47,WiMIR meetup 6: Elaine Chew,3,2020-10-14,12:00,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
48,Meetups Misc,3,2020-10-14,12:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
49,Posters 5A,3,2020-10-14,13:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-5-,
50,Industry Meetup A,3,2020-10-14,14:30,Meetup-Special,"Look up these sponsor's channels for links to their respective meet-up zoom meetings #sponsor-spotify, #sponsor-sony, #sponsor-bytedance, #sponsor-adobe, or join our Silver and Bronze sponsors at the zoom announced on Slack.",All ISMIR attendees,https://www.ismir2020.net/sponsors/,#sponsor-,
51,Meetups Misc,3,2020-10-14,14:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
52,Music Program 2A,3,2020-10-14,16:30,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
