Day,Slot,Session,Paper ID,Organization,Municipality,Country,UTC,Time Zone,Contact Author,All Authors and Organizations,Primary Subject Area,Secondary Subject Areas
1,2,2,41,Rhodes College,Memphis,United States,-5,CDT (UTC -5),Phillip B Kirlin,Phillip B Kirlin (Rhodes College)*,MIR tasks -> Pattern matching and detection,Applications -> Music retrieval systems; MIR tasks -> Automatic classification; MIR tasks -> Indexing and querying; MIR tasks -> Music summarization; MIR tasks -> Similarity metrics
1,2,2,98,International Institute of Information Technology,Hyderabad,India,5.5,IST (UTC+5:30),Yudhik Agrawal,Yudhik Agrawal ( IIIT Hyderabad)*; Samyak Jain (IIIT Hyderabad); Emily Carlson (University of JyvÃƒÂ¤skylÃƒÂ¤); Petri Toiviainen (University of JyvÃƒÂ¤skylÃƒÂ¤); Vinoo Alluri (IIIT - Hyderabad),"Human-centered MIR -> User behavior analysis and mining, user modeling",Domain knowledge -> Machine learning/Artificial intelligence for music; Human-centered MIR -> Human-computer interaction and interfaces; Human-centered MIR -> Personalization; MIR fundamentals and methodology -> Multimodality
1,2,2,128,"International Institute of Information Technology, Hyderabad",Hyderabad,India,5.5,IST (UTC +5:30),Aayush Surana,"Aayush Surana (International Institute of Information Technology, Hyderabad)*; Yash Goyal (International Institute of Information Technology, Hyderabad); Manish Shrivastava (IIIT Hyderabad); Suvi H Saarikallio (University of JyvÃƒÂ¤skylÃƒÂ¤); Vinoo  Alluri (IIIT - Hyderabad)","Applications -> Music and health, well-being, and therapy","Domain knowledge -> Cognitive MIR; Human-centered MIR -> User behavior analysis and mining, user modeling; MIR fundamentals and methodology -> Metadata, tags, linked data, and semantic web; Musical features and properties -> Musical affect, emotion, and mood; Musical features and properties -> Musical style and genre"
1,2,2,139,Harvey Mudd College,Claremont,United States,-5,CDT (UTC-5),Timothy Tsai,Mengyi Shan (Harvey Mudd College); Timothy Tsai (Harvey Mudd College)*,"MIR tasks -> Alignment, synchronization, and score following",MIR fundamentals and methodology -> Multimodality; MIR fundamentals and methodology -> Music signal processing
1,2,2,146,"University of California, San Diego",La Jolla,the United States,8,UTC+8,Ke Chen,"Ke Chen (University of California San Diego)*; Cheng-i Wang (Smule, Inc); Taylor Berg-Kirkpatrick (University of California San Diego); Shlomo Dubnov (UC San Diego)",Domain knowledge -> Machine learning/Artificial intelligence for music,"Applications -> Music composition, performance, and production; Domain knowledge -> Representations of music; Human-centered MIR -> Human-computer interaction and interfaces; Musical features and properties -> Melody and motives; Musical features and properties -> Rhythm, beat, tempo"
1,2,2,222,Singapore,Singapore,Singapore,8,SGT,HAO HAO TAN,HAO HAO TAN (Singapore University of Technology and Design)*; Dorien Herremans (Singapore University of Technology and Design),Domain knowledge -> Machine learning/Artificial intelligence for music,MIR tasks -> Music synthesis and transformation
1,2,2,300,Georgia Institute of Technology,Atlanta,USA,-4,EDT (UTC-4),Ashis Pati,Ashis Pati (Georgia Institute of Technology)*; Siddharth Kumar Gururani (Georgia Institute of Technology); Alexander Lerch (Georgia Tech Center for Music Technology),Domain knowledge -> Machine learning/Artificial intelligence for music,"Domain knowledge -> Representations of music; Evaluation, datasets, and reproducibility -> Novel datasets and use cases; Evaluation, datasets, and reproducibility -> Reproducibility; MIR fundamentals and methodology -> Symbolic music processing"
1,2,2,339,National Taiwan University,Taipei,Taiwan,8,UTC+8,Shih-Lun Wu,Shih-Lun Wu (National Taiwan University)*; Yi-Hsuan Yang (Academia Sinica),"Evaluation, datasets, and reproducibility -> Evaluation metrics","Applications -> Music composition, performance, and production; Domain knowledge -> Machine learning/Artificial intelligence for music"
1,2,2,354,"Indian Institute of Technology, Kharagpur",Kharagpur,India,5.5,IST (UTC +5:30),Sanga Chaki,"Sanga Chaki (Indian Institute of Technology, Kharagpur, India)*; Pranjal Doshi (IIT Kharagpur); Sourangshu Bhattacharya (Indian Institute of Technology Kharagpur); Prof. Priyadarshi Patnaik (Indian Institute of Technology Kharagpur)","Musical features and properties -> Musical affect, emotion, and mood",Applications -> Music recommendation and playlist generation; Applications -> Music retrieval systems; Domain knowledge -> Machine learning/Artificial intelligence for music; MIR tasks -> Automatic classification; MIR tasks -> Pattern matching and detection
1,3,3,21,Engineering Department,Claremont,US,-7,PDT (UTC -7),Timothy Tsai,Timothy Tsai (Harvey Mudd College)*; Kevin Ji (Harvey Mudd College),Musical features and properties -> Musical style and genre,Domain knowledge -> Machine learning/Artificial intelligence for music; Domain knowledge -> Representations of music; MIR fundamentals and methodology -> Symbolic music processing; MIR tasks -> Automatic classification
1,3,3,46,Korea University,Seoul,Republic of Korea,-9,UTC-9,Woosung Choi,Woosung Choi (Korea University)*; Minseok  Kim (Korea University); Jaehwa Chung (Korea National Open University); Daewon Lee (Seokyeong University); Soonyoung Jung (Korea University),MIR tasks -> Sound source separation,"Musical features and properties -> Timbre, instrumentation, and voice"
1,3,3,58,Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,Erlangen,Deutschland,2,CEST (UTC +2),Christof Weiss,"Christof Weiss (International Audio Laboratories Erlangen)*; Stephanie Klauk (Institut fÃƒÂ¼r Musikwissenschaft, Saarland University); Mark R H Gotham (UniversitÃƒÂ¤t des Saarlandes); Meinard MÃƒÂ¼ller (International Audio Laboratories Erlangen); Rainer Kleinertz (Saarland University)",Domain knowledge -> Computational music theory and musicology,
1,3,3,124,Ecole polytechnique fÃ©dÃ©rale de Lausanne,Lausanne,Switzerland,2,CEST,Christoph Finkensiep,Christoph Finkensiep (EPFL)*; Ken DÃƒÂ©guernel (EPFL); Markus Neuwirth (Anton Bruckner PrivatuniversitÃƒÂ¤t Linz); Martin Rohrmeier (Ecole Polytechnique FÃƒÂ©dÃƒÂ©rale de Lausanne),MIR tasks -> Pattern matching and detection,"Domain knowledge -> Computational music theory and musicology; MIR fundamentals and methodology -> Symbolic music processing; Musical features and properties -> Harmony, chords, and tonality; Musical features and properties -> Melody and motives; Musical features and properties -> Rhythm, beat, tempo"
1,3,3,133,University of Amsterdam,Amsterdam,The Netherlands,2,CEST (UTC+2),Arianne N. van Nieuwenhuijsen,Arianne N. van Nieuwenhuijsen (None)*; John Ashley Burgoyne (University of Amsterdam); Frans Wiering (Utrecht University); Mick Sneekes (Utrecht University),MIR tasks -> Music summarization,"Applications -> Music retrieval systems; Human-centered MIR -> User behavior analysis and mining, user modeling"
1,3,3,148,Spotify,san francisco,United States,-7,PDT (UTC -7),Avriel C Epps-Darling,Avriel C Epps-Darling (Harvard University)*; Henriette Cramer (Spotify); Romain Takeo Bouyer (Spotify),Philosophical and ethical discussions -> Ethical issues related to designing and implementing MIR to,"Applications -> Music recommendation and playlist generation; Human-centered MIR -> Human-computer interaction and interfaces; Human-centered MIR -> User behavior analysis and mining, user modeling; MIR fundamentals and methodology -> Metadata, tags, linked data, and semantic web"
1,3,3,189,Spotify,New York City,USA,-7,PDT,Gabriel Meseguer Brocal,Gabriel Meseguer Brocal (IRCAM)*; Rachel Bittner (Spotify); Simon Durand (Spotify); Brian Brost (Spotify),Domain knowledge -> Machine learning/Artificial intelligence for music,"Evaluation, datasets, and reproducibility -> Novel datasets and use cases; MIR tasks -> Music transcription and annotation"
1,3,3,241,Universitat Pompeu Fabra,Barcelona,Spain,2,UTC/GMT +2 hours,Antonio Ramires,Antonio Ramires (Universitat Pompeu Fabra)*; Frederic Font (Music Technology Group - Universitat Pompeu Fabra); Dmitry Bogdanov (Universitat Pompeu Fabra); Jordan B. L. Smith (TikTok); Yi-Hsuan Yang (Academia Sinica); Joann Ching (Academia Sinica); Bo-Yu Chen (Academia Sinica); Yueh-Kao Wu (Academia Sinica); Hsu Wei-Han (Academia Sinica); Xavier Serra (Universitat Pompeu Fabra),"Evaluation, datasets, and reproducibility -> Novel datasets and use cases","Applications -> Music composition, performance, and production; Evaluation, datasets, and reproducibility -> Annotation protocols; Evaluation, datasets, and reproducibility -> Reproducibility"
1,3,3,254,Universitat Pompeu Fabra,Barcelona,Spain,2,CEST (UTC+2),Helena Cuesta,Helena Cuesta (Universitat Pompeu Fabra)*; Brian McFee (New York University); Emilia Gomez (Universitat Pompeu Fabra),MIR tasks -> Music transcription and annotation,MIR fundamentals and methodology -> Music signal processing; Musical features and properties -> Melody and motives
1,3,3,359,University of Oslo,Oslo,Norway,2,CEST (UTC +2),Olivier Lartillot,"Olivier Lartillot (RITMO, University of Oslo)*; Fred Bruford (Queen Mary University of London / Roli)","Musical features and properties -> Rhythm, beat, tempo",Domain knowledge -> Computational music theory and musicology; Domain knowledge -> Representations of music; MIR fundamentals and methodology -> Symbolic music processing; MIR tasks -> Similarity metrics
1,4,4,23,International Audio Laboratories Erlangen,Erlangen,Germany,2,CEST (UTC +2),Frank Zalkow,Frank Zalkow (International Audio Laboratories Erlangen)*; Meinard MÃƒÂ¼ller (International Audio Laboratories Erlangen),Applications -> Music retrieval systems,"Domain knowledge -> Machine learning/Artificial intelligence for music; Domain knowledge -> Representations of music; MIR fundamentals and methodology -> Music signal processing; MIR tasks -> Alignment, synchronization, and score following; Musical features and properties -> Harmony, chords, and tonality"
1,4,4,80,Ecole Polytechnique FÃ©dÃ©rale de Lausanne,Lausanne,Switzerland,2,CEST,Daniel Harasim,Daniel Harasim (Ãƒâ€°cole Polytechnique FÃƒÂ©dÃƒÂ©rale de Lausanne)*; Christoph Finkensiep (EPFL); Petter Ericson (EPFL); Timothy J. O'Donnell (McGill University); Martin Rohrmeier (Ecole Polytechnique FÃƒÂ©dÃƒÂ©rale de Lausanne),"Evaluation, datasets, and reproducibility -> Novel datasets and use cases","Domain knowledge -> Computational music theory and musicology; Domain knowledge -> Representations of music; Evaluation, datasets, and reproducibility -> Annotation protocols; Musical features and properties -> Harmony, chords, and tonality; Musical features and properties -> Structure, segmentation, and form"
1,4,4,126,Apple,London,UK,1,BST (UTC +1),Bruno Di Giorgi,Bruno Di Giorgi (Apple)*; Matthias Mauch (Apple); Mark Levy (Apple),Domain knowledge -> Machine learning/Artificial intelligence for music,"MIR tasks -> Music transcription and annotation; Musical features and properties -> Rhythm, beat, tempo"
1,4,4,137,Delft University of Technology,Delft,The Netherlands,2,CEST (UTC+2),Cynthia C. S. Liem,Cynthia C. S. Liem (Delft University of Technology)*; Chris Mostert (Delft University of Technology),"Evaluation, datasets, and reproducibility -> Reproducibility","Domain knowledge -> Machine learning/Artificial intelligence for music; Evaluation, datasets, and reproducibility -> Evaluation methodology; Musical features and properties -> Musical affect, emotion, and mood; Musical features and properties -> Musical style and genre; Philosophical and ethical discussions -> Philosophical and methodological foundations"
1,4,4,211,Queen Mary University of London,London,UK,1,GMT,Fred Bruford,"Fred Bruford (Queen Mary University of London)*; Olivier Lartillot (RITMO, University of Oslo); SKoT McDonald (inMusic Brands); Mark B. Sandler (Queen Mary University of London)","Musical features and properties -> Rhythm, beat, tempo","Applications -> Music retrieval systems; Evaluation, datasets, and reproducibility -> Novel datasets and use cases; Human-centered MIR -> Personalization; MIR fundamentals and methodology -> Symbolic music processing; MIR tasks -> Similarity metrics"
1,4,4,232,University of Amsterdam,Amsterdam,The Netherlands,2,CEST (UTC+2),Bas Cornelissen,"Bas Cornelissen (University of Amsterdam)*; Willem Zuidema (ILLC, UvA); John Ashley Burgoyne (University of Amsterdam)",Musical features and properties -> Melody and motives,"Domain knowledge -> Computational music theory and musicology; Musical features and properties -> Harmony, chords, and tonality; Musical features and properties -> Structure, segmentation, and form"
1,4,4,239,IRCAM,Paris,France,2,CEST (UTC+2),Guillaume Doras,Guillaume Doras (Ircam)*; Furkan Yesiler (Universitat Pompeu Fabra); Joan Serra (Dolby Laboratories); Emilia Gomez (Universitat Pompeu Fabra); Geoffroy Peeters (Telecom ParisTech),Applications -> Music retrieval systems,"Domain knowledge -> Machine learning/Artificial intelligence for music; MIR tasks -> Automatic classification; MIR tasks -> Similarity metrics; Musical features and properties -> Harmony, chords, and tonality; Musical features and properties -> Melody and motives"
1,4,4,245,Telecom Paris,Paris,France,2,UTC,Karim M. Ibrahim,"Karim M. Ibrahim (Telecom-Paristech)*; Elena V. Epure (Deezer Research); Geoffroy Peeters (LTCI - TÃƒÂ©lÃƒÂ©com Paris, IP Paris); Gael Richard (Telecom Paristech)",Human-centered MIR -> Personalization,"Evaluation, datasets, and reproducibility -> Evaluation methodology; Evaluation, datasets, and reproducibility -> Novel datasets and use cases; Human-centered MIR -> User-centered evaluation; MIR fundamentals and methodology -> Metadata, tags, linked data, and semantic web; MIR tasks -> Automatic classification"
1,4,4,260,Universitat Pompeu Fabra,Barcelona,Spain,2,CET,Albin Correya,Albin Correya (Universitat Pompeu Fabra)*; Dmitry Bogdanov (Universitat Pompeu Fabra); Luis Joglar-Ongay (SonoSuite); Xavier Serra (Universitat Pompeu Fabra),MIR fundamentals and methodology -> Music signal processing,"Applications -> Digital libraries and archives; Applications -> Music composition, performance, and production; Applications -> Music recommendation and playlist generation; Applications -> Music retrieval systems; Applications -> Music training and education"
1,4,4,308,University of Manchester,Manchester,United Kingdom,1,BST (GMT+1),Jacopo de Berardinis,Jacopo de Berardinis (University of Manchester)*; Angelo Cangelosi (University of Manchester); Eduardo Coutinho (University of Liverpool),"Musical features and properties -> Musical affect, emotion, and mood",Domain knowledge -> Machine learning/Artificial intelligence for music; MIR tasks -> Sound source separation
2,1,5,6,Waseda University,Tokyo,Japan,9,JST (UTC+9),Keitaro Tanaka,Keitaro Tanaka (Waseda University)*; Takayuki Nakatsuka (Waseda University); Ryo Nishikimi (Kyoto University); Kazuyoshi Yoshii (Kyoto University); Shigeo Morishima (Waseda Research Institute for Science and Engineering),MIR tasks -> Music transcription and annotation,
2,1,5,44,Kyoto University,Kyoto,Japan,9,JST (UTC +9),Florian Thalmann,Florian Thalmann (Kyoto University)*; Kazuyoshi Yoshii (Kyoto University); Thomas Wilmering (Queen Mary University of London); Wiggins Geraint (Vrije Universitet); Mark B. Sandler (Queen Mary University of London),"Musical features and properties -> Structure, segmentation, and form","Domain knowledge -> Computational music theory and musicology; Domain knowledge -> Representations of music; MIR tasks -> Pattern matching and detection; Musical features and properties -> Harmony, chords, and tonality"
2,1,5,88,National Institute of Advanced Industrial Science and Technology (AIST),"Central 2, 1-1-1 Umezono, Tsukuba",Japan,9,JST (UTC+9),Kento Watanabe,Kento Watanabe (National Institute of Advanced Industrial Science and Technology (AIST))*; Masataka Goto (National Institute of Advanced Industrial Science and Technology (AIST)),"MIR fundamentals and methodology -> Lyrics and other textual data, web mining, and natural language","Musical features and properties -> Structure, segmentation, and form"
2,1,5,96,NYU Shanghai,Shanghai,China,8,CST (UTC +8),Ziyu Wang,Ziyu Wang (NYU Shanghai)*; Yiyi Zhang (New York University); Yixiao Zhang (NYU Shanghai); Junyan Jiang (NYU Shanghai); Ruihan Yang (University of California Irvine); Gus Xia (New York University Shanghai); Junbo Zhao (New York University),"Applications -> Music composition, performance, and production",Domain knowledge -> Machine learning/Artificial intelligence for music; Domain knowledge -> Representations of music; MIR fundamentals and methodology -> Symbolic music processing
2,1,5,144,National Institute of Advanced Industrial Science and Technology (AIST),Tsukuba,Japan,9,JST (UTC +9),Fabrizio Pedersoli,Fabrizio Pedersoli (National Institute of Advanced Industrial Science and Technology (AIST))*; Masataka Goto (National Institute of Advanced Industrial Science and Technology (AIST)),"Musical features and properties -> Rhythm, beat, tempo",MIR fundamentals and methodology -> Multimodality
2,1,5,160,KAIST,Daejeon,KOREA,9,KST (UTC +9),Sangeun Kum,Sangeun Kum (KAIST)*; Jing-Hua Lin (Academia Sinica); Li Su (Academia Sinica); Juhan Nam (KAIST),Musical features and properties -> Melody and motives,"Evaluation, datasets, and reproducibility -> Novel datasets and use cases; MIR tasks -> Music transcription and annotation"
2,1,5,235,McGill University/Music Technology,Montreal,Canada,-4,EDT (UTC-4),Laurent Feisthauer,"Jacob deGroot-Maggetti (McGill University); Timothy R de Reuse (McGill University); Laurent Feisthauer (UniversitÃƒÂ© de Lille)*; Samuel Howes (McGill University); Yaolong Ju (McGill University); Suzuka Kokubu (McGill University); Sylvain Margot (McGill University); NÃƒÂ©stor NÃƒÂ¡poles LÃƒÂ³pez (McGill University, CIRMMT); Finn Upham (McGill University)","Evaluation, datasets, and reproducibility -> Novel datasets and use cases",Applications -> Music retrieval systems; Domain knowledge -> Computational music theory and musicology; MIR fundamentals and methodology -> Symbolic music processing; MIR tasks -> Music transcription and annotation
2,1,5,304,KAIST,Daejeon,South Korea,9,KST (UTC+9),Jongpil Lee,Jongpil Lee (KAIST)*; Nicholas J. Bryan (Adobe Research); Justin Salamon (Adobe Research); Zeyu Jin (Adobe Research); Juhan Nam (KAIST),MIR tasks -> Similarity metrics,MIR tasks -> Automatic classification
2,1,5,341,KAIST,Daejeon,South Korea,9,UTC +9,Taegyun Kwon,Taegyun Kwon (KAIST)*; Dasaem Jeong (SK Telecom); Juhan Nam (KAIST),MIR tasks -> Music transcription and annotation,"Applications -> Music composition, performance, and production; Applications -> Music retrieval systems; MIR fundamentals and methodology -> Music signal processing"
2,2,6,33,Smith College,Northampton,USA,-4,EDT (UTC -4),Claire Savard,"Claire Savard (University of Colorado, Boulder)*; Erin H Bugbee (Carnegie Mellon University); Melissa R McGuirl (Brown University ); Katherine M. Kinnaird (Smith College)",Domain knowledge -> Representations of music,"Evaluation, datasets, and reproducibility -> MIR tasks; MIR tasks -> Fingerprinting; MIR tasks -> Pattern matching and detection; MIR tasks -> Similarity metrics; Musical features and properties -> Structure, segmentation, and form"
2,2,6,90,"Institute of Information Science, Academia Sinica",Taipei,Taiwan,8,CST (UTC +8),Tsung-Ping Chen,Tsung-Ping Chen (Academia Sinica)*; Satoru Fukayama (National Institute of Advanced Industrial Science and Technology (AIST)); Masataka Goto (National Institute of Advanced Industrial Science and Technology (AIST)); Li Su (Academia Sinica),"Musical features and properties -> Harmony, chords, and tonality","Evaluation, datasets, and reproducibility -> Novel datasets and use cases; MIR fundamentals and methodology -> Symbolic music processing"
2,2,6,105,Mitsubishi Electric Research Laboratories,Cambridge,US,-4,EDT (UTC-4),Ethan Manilow,Ethan Manilow (Northwestern University)*; Gordon Wichern (Mitsubishi Electric Research Laboratories (MERL)); Jonathan LeRoux (Mitsubishi Electric Research Laboratories (MERL)),MIR tasks -> Sound source separation,
2,2,6,134,University of Ottawa,Ottawa,Canada,-4,eastern,Jada E Watson,Jada E Watson (University of Ottawa)*,Philosophical and ethical discussions -> Legal and societal aspects of MIR,"Applications -> Music recommendation and playlist generation; Applications -> Music retrieval systems; Evaluation, datasets, and reproducibility -> Evaluation methodology; MIR fundamentals and methodology -> Metadata, tags, linked data, and semantic web"
2,2,6,156,Fraunhofer IDMT,Ilmenau,Germany,8,UTC+8,Estefania Cano,Estefania Cano (Fraunhofer IDMT)*; Fernando Mora ÃƒÂngel (Universidad de Antioquia); Gustavo Adolfo LÃƒÂ³pez Gil (Universidad de Antioquia); JosÃƒÂ© Ricardo Zapata (Universidad Pontificia Bolivariana); Antonio Escamilla (Universidad Pontificia Bolivariana); Juan Fernando Alzate LondoÃƒÂ±o (Universidad de Antioquia); Moises Betancur Pelaez (Universidad de Antioquia),Domain knowledge -> Computational music theory and musicology,"Applications -> Digital libraries and archives; Evaluation, datasets, and reproducibility -> Novel datasets and use cases; Musical features and properties -> Rhythm, beat, tempo"
2,2,6,165,National University of Singapore,Singapore,Singapore,8,SGT (UTC +8),Chitralekha Gupta,Chitralekha Gupta (National University of Singapore)*; Lin Huang (National University of Singapore); Haizhou Li (National University of Singapore),Domain knowledge -> Machine learning/Artificial intelligence for music,"Applications -> Music training and education; Evaluation, datasets, and reproducibility -> Evaluation methodology; MIR fundamentals and methodology -> Music signal processing; MIR tasks -> Similarity metrics; Musical features and properties -> Timbre, instrumentation, and voice"
2,2,6,225,Academia Sinica,Taipei,Taiwan,8,CST (UTC +8),Bo-Yu Chen,Bo-Yu Chen (Academia Sinica)*; Jordan B. L. Smith (TikTok); Yi-Hsuan Yang (Academia Sinica),"Applications -> Music composition, performance, and production",Domain knowledge -> Machine learning/Artificial intelligence for music; Human-centered MIR -> User-centered evaluation
2,2,6,311,University of Waterloo,Waterloo,Canada,-4,EDT,Kyle Robinson,Kyle Robinson (University of Waterloo)*; Dan Brown (University of Waterloo); Markus Schedl (Johannes Kepler University Linz),Human-centered MIR -> User-centered evaluation,"Applications -> Music recommendation and playlist generation; Evaluation, datasets, and reproducibility -> Evaluation metrics; Human-centered MIR -> Human-computer interaction and interfaces; Human-centered MIR -> Personalization"
2,2,6,343,Ursinus College,Collegeville,US,-4,UTC-4,Christopher J Tralie,Christopher J Tralie (Ursinus College)*; Elizabeth Dempsey (Ursinus College),"MIR tasks -> Alignment, synchronization, and score following","Applications -> Music retrieval systems; Evaluation, datasets, and reproducibility -> Evaluation metrics"
2,3,7,24,Harvey Mudd College,Claremont,United States,-7,PDT (UTC-7),Timothy Tsai,Daniel Yang (Harvey Mudd College); Timothy Tsai (Harvey Mudd College)*,MIR tasks -> Fingerprinting,Applications -> Music retrieval systems; Domain knowledge -> Representations of music; MIR tasks -> Indexing and querying
2,3,7,48,University of Ljubljana,Ljubljana,Slovenia,2,CEST,MatevÃ…Â¾ Pesek,MatevÃ…Â¾ Pesek (University of Ljubljana)*; Lovro Suhadolnik (University of Ljubljana); Peter Ã…Â avli (Conservatory of Music and Ballet Ljubljana); Matija Marolt (University of Ljubljana),Applications -> Music training and education,Human-centered MIR -> User-centered evaluation
2,3,7,101,Deezer / Telecom Paris,Paris,France,2,CEST (UTC +2),Andrea Vaglio,Andrea Vaglio (Deezer / Telecom ParisTech)*; Romain Hennequin (DEEZER); Manuel Moussallam (DEEZER); Gael Richard (Telecom Paristech); Florence dÃ¢â‚¬â„¢AlchÃƒÂ©-Buc (TÃƒÂ©lÃƒÂ©com Paris),"MIR tasks -> Alignment, synchronization, and score following",
2,3,7,125,"Google, Inc.",SUNNYVALE,United States,-7,PDT (UTC -7),Ullas Gargi,Ayush Patwari (YouTube Music); Nicholas Kong (YouTube Music); Jun Wang (YouTube Music); Ullas Gargi (YouTube Music)*; Michele Covell (Google),Applications -> Music recommendation and playlist generation,"MIR tasks -> Automatic classification; Musical features and properties -> Musical affect, emotion, and mood"
2,3,7,135,Voctro Labs,Maagan Michael,Israel,2,CEST (UTC +2),Matan Gover,Matan Gover (McGill University)*; Philippe Depalle (McGill University),MIR tasks -> Sound source separation,Domain knowledge -> Machine learning/Artificial intelligence for music; MIR fundamentals and methodology -> Music signal processing
2,3,7,150,Pandora,Oakland,USA,-7,PDT (UTC -7),Oriol Nieto,"Filip Korzeniowski (Pandora Media, Inc.); Oriol Nieto (Pandora)*; Matthew McCallum (Pandora); Minz Won (Universitat Pompeu Fabra); Sergio Oramas (Pandora Media Inc.); Erik Schmidt (Netflix, Inc.)","Musical features and properties -> Musical affect, emotion, and mood",Applications -> Music retrieval systems; MIR tasks -> Automatic classification
2,3,7,207,University of Alicante,San Vicente del Raspeig,Spain,2,CEST (UTC +2),Francisco J. Castellanos,Francisco J. Castellanos (University of Alicante)*; Jorge Calvo-Zaragoza (University of Alicante); Jose M. Inesta (University of Alicante),MIR tasks -> Optical Music Recognition (OMR),Applications -> Music retrieval systems
2,3,7,246,Cornell University,Ithaca,United States,-7,PDT (UTC-7),Derek S Cheng,Derek S Cheng (Cornell University)*; Thorsten Joachims (Cornell University); Douglas Turnbull (Ithaca College),Applications -> Music recommendation and playlist generation,"Human-centered MIR -> User-centered evaluation; MIR tasks -> Similarity metrics; Musical features and properties -> Musical style and genre; Musical features and properties -> Rhythm, beat, tempo"
